"Type","PartNumber","Dealer Cost","Item Description","In Stock","RetailPrice","Is Discontinued","MAP Price"
"Shield (Outer)","02-001",14.97,"KID 392J/FF385/387/396 Outer Face Shield Clear","21",24.95,"True",24.95
"Shield (Outer)","02-002",17.97,"KID 392J/FF385/387/396 Outer Face Shield Light Smoke","18",29.95,"True",29.95
"Shield (Outer)","02-003",17.99,"KID 392J/FF385/387/396 Outer Face Shield Dark Smoke","11",29.99,"True",29.99
"Shield (Outer)","02-005",17.97,"KID 392J/FF385/387/396 Outer Face Shield Blue Iridium","2",29.95,"True",29.95
"Shield (Outer)","02-006",17.97,"KID 392J/FF385/387/396 Outer Face Shield Gold Iridium","0",29.95,"True",29.95
"Base Plate","02-010",5.99,"KID 392J/FF385/387/396 Shield Base Plate Black","30",9.98,"True",0
"Breath Deflector","02-030",1.19,"FF353/359/384/385/387/396/(353 RAPID) Breath Deflector Black","45",1.98,"True",0
"Breath Deflector","02-037",1.17,"Strobe/FF386 Breath Deflector Black","12",1.95,"False",1.95
"Breath Deflector","02-050",5.97,"Strobe/Kid 392J/FF385/FF387/FF396 Snow Breath Box Black","85",9.95,"True",0
"Shield (Outer)","02-051",26.99,"Strobe/FF386/FF394 Pinlock Ready Outer Face Shield Clear","48",44.98,"False",44.98
"Shield (Outer)","02-052",26.99,"Strobe/FF386/FF394 Pinlock Ready Outer Face Shield Dark Smoke","37",44.98,"False",44.98
"Shield (Outer)","02-053",26.99,"Strobe/FF386/FF394 Pinlock Ready Outer Face Shield Silver Iridium","71",44.98,"False",44.98
"Shield (Outer)","02-054",26.99,"Strobe/FF386/FF394 Pinlock Ready Outer Face Shield Blue Iridium","39",44.98,"False",44.98
"Base Plate","02-055",8.99,"Strobe/FF386 Shield Base Plate Black","146",14.98,"True",14.98
"Shield (Outer)","02-056",68.99,"Strobe/FF386 Snow Electric Outer Face Shield Clear","380",114.98,"True",114.98
"Shield (Outer)","02-058",29.99,"Strobe/FF386 Snow Dual Pane Outer Face Shield Clear","684",49.98,"True",49.98
"Head Gear","02-060",3.59,"Snow Balaclava Black One Size Fits All","0",5.98,"False",5.98
"Parts/Accessories","02-069",23.99,"Snow Electric Wiring for electric shield","53",39.98,"True",39.98
"Breath Deflector","02-070",5.97,"FF386 Snow Breath Box Black with 2 Snaps","253",9.95,"True",0
"Shield (Outer)","02-160",26.99,"Track/OF569 Outer Face Shield Clear","290",44.98,"True",44.98
"Shield (Outer)","02-161",26.99,"Track/OF569 Outer Face Shield Dark Smoke","32",44.98,"True",44.98
"Shield (Outer)","02-162",26.99,"Track/OF569 Outer Face Shield Silver Iridium","21",44.98,"True",44.98
"Shield (Outer)","02-163",26.99,"Track/OF569 Outer Face Shield Blue Iridium","157",44.98,"True",44.98
"Base Plate","02-164",8.99,"Track/OF569 Shield Base Plate Black","35",14.98,"False",14.98
"Peaks","02-190",8.99,"Bagger/SC3 Peak Black","0",14.98,"False",14.98
"Liner","02-211",14.99,"Bagger/HH568 Liner Black XS","29",24.98,"True",24.98
"Liner","02-212",14.99,"Bagger/HH568 Liner Black S","37",24.98,"True",24.98
"Liner","02-213",14.99,"Bagger/HH568 Liner Black M","50",24.98,"True",24.98
"Liner","02-214",14.99,"Bagger/HH568 Liner Black L","11",24.98,"True",24.98
"Liner","02-215",14.99,"BAGGER/HH568 LINER XL","82",24.98,"True",24.98
"Liner","02-216",14.99,"Bagger/HH568 Liner Black 2XL","232",24.98,"True",24.98
"Neck Curtain","02-217",9.59,"Bagger/HH568 Neck Curtain Black","5",15.99,"True",15.99
"Neck Curtain","02-218",5.97,"SC3 Neak Curtain Black","62",9.95,"True",0
"Liner","02-273",11.99,"KID 392J Liner Black M","0",19.98,"True",0
"Liner","02-274",11.99,"KID 392J Liner Black L","0",19.98,"True",0
"Cheek Pad (Regular)","02-287",11.99,"KID 392J Cheek Pad Black S","0",19.98,"True",0
"Cheek Pad (Regular)","02-288",11.99,"KID 392J Cheek Pad Black M","0",19.98,"True",0
"Cheek Pad (Regular)","02-289",11.99,"KID 392J Cheek Pad Black L","0",19.98,"True",0
"Chin Curtain","02-308",2.99,"FF386 Chin Curtain Black","22",4.99,"True",0
"Pinlock | Pinlock Accessory","02-420",26.99,"Strobe/FF386 Pinlock Insert Clear","15",44.98,"False",44.98
"Screws and Mechanisms","02-482",4.77,"Light Screw Set Black","0",7.95,"True",7.95
"Screws and Mechanisms","02-484",4.77,"MX456E Screw Set Black","56",7.95,"True",0
"Liner","02-581",14.99,"Track Liner Black XS","15",24.98,"True",24.98
"Liner","02-582",14.99,"Track Liner Black S","6",24.98,"True",24.98
"Liner","02-583",14.99,"Track Liner Black M","0",24.98,"True",24.98
"Liner","02-584",14.99,"Track Liner Black L","10",24.98,"True",24.98
"Liner","02-585",14.99,"Track Liner Black XL","14",24.98,"True",24.98
"Liner","02-586",14.99,"Track Liner Black 2XL","14",24.98,"True",24.98
"Cheek Pad (Regular)","02-591",14.99,"Track Cheek Pad Black XS","25",24.98,"True",24.98
"Cheek Pad (Regular)","02-592",14.99,"Track Cheek Pad Black S","15",24.98,"True",24.98
"Cheek Pad (Regular)","02-593",14.99,"Track Cheek Pad Black M","9",24.98,"True",24.98
"Cheek Pad (Regular)","02-594",14.99,"Track Cheek Pad Black L","18",24.98,"True",24.98
"Cheek Pad (Regular)","02-595",14.99,"Track Cheek Pad Black XL","23",24.98,"True",24.98
"Cheek Pad (Regular)","02-596",14.99,"Track Cheek Pad Black 2XL","23",24.98,"True",24.98
"Neck Roll","02-597",5.97,"Strobe Neck Roll Black XS/S/M","12",9.95,"True",9.95
"Pinlock | Pinlock Accessory","02-600",26.99,"Arrow/Challenger Pinlock Max Insert Clear","0",44.98,"False",44.98
